Year;NHDC;Partos_vag;Cesareas
2013;113;0;0
2013;619;8;1
2013;163;0;0
2013;131;0;0
2013;375;0;0
2013;1090;2288;340
2013;764;1723;528
2013;14;323;197
2013;657;312;128
2013;362;35;11
2013;989;269;59
2013;990;332;136
2013;680;1758;541
2013;411;282;245
2013;241;217;394
2013;558;696;301
2013;167;5;6
2013;248;0;0
2013;224;161;55
2013;591;1074;308
2013;586;1099;285
2013;453;0;0
2013;145;0;0
2013;511;748;338
2013;530;1105;275
2013;6;205;307
2013;161;0;0
2013;623;796;264
2013;489;35;7
2013;875;0;0
2013;940;0;0
2013;946;134;106
2013;1023;954;231
2013;1054;785;315
2013;1057;0;0
2013;1031;0;0
2013;1032;1209;279
2013;1064;164;143
2013;226;270;216
2013;687;925;221
2013;745;2450;648
2013;109;207;202
2013;808;2008;547
2013;971;0;0
2013;128;0;0
2013;919;713;255
2013;725;1841;585
2013;3;0;0
2013;386;0;0
2013;306;0;0
2013;15;0;0
2013;264;218;133
2013;867;0;0
2013;910;378;263
2013;1053;698;293
2013;1055;1108;350
2013;1081;0;0
2013;1099;0;0
2013;529;0;0
2013;345;0;0
2013;515;0;0
2013;174;0;0
2013;523;0;0
2013;697;656;284
2013;239;0;0
2013;287;444;269
2013;377;0;0
2013;692;940;213
2013;335;0;0
2013;435;99;55
2013;423;46;44
2013;351;0;0
2013;810;0;0
2013;830;785;158
2013;892;1620;355
2013;921;477;354
2013;991;89;19
2013;992;700;146
2013;993;476;136
2013;1070;1324;567
2013;1095;0;0
2013;1094;0;0
2013;473;2272;906
2013;663;1084;328
2013;552;0;0
2013;772;0;0
2013;568;0;0
2013;398;0;0
2013;394;0;0
2013;614;0;0
2013;235;0;0
2013;616;0;0
2013;267;1347;815
2013;565;0;0
2013;220;277;184
2013;278;1047;642
2013;107;0;0
2013;141;0;0
2013;711;1152;388
2013;204;0;0
2013;579;0;0
2013;348;0;0
2013;766;0;0
2013;761;0;0
2013;728;0;0
2013;280;1296;1050
2013;222;0;0
2013;276;2139;1234
2013;11;227;146
